id,model_year,make,model,trim,fuel_type,canadian_made,price_cap_cad,published_year,incentive_purchase_or_48mo,incentive_36mo,incentive_24mo,incentive_12mo,first_seen,last_seen,source_row_hash
2026-chrysler-pacifica-limited,2026,Chrysler,Pacifica,Limited,PHEV,1,,2026,2500,1875,1250,625,2026-09-12,2026-09-12,642eb4b134024ad7
2026-chrysler-pacifica-pinnacle,2026,Chrysler,Pacifica,Pinnacle,PHEV,1,,2026,2500,1875,1250,625,2026-09-12,2026-09-12,ffc3e9f67a847b7f
2026-chrysler-pacifica-select,2026,Chrysler,Pacifica,Select,PHEV,1,,2026,2500,1875,1250,625,2026-09-12,2026-09-12,e6638246e383bf47
2025-chrysler-pacifica-fav,2025,Chrysler,Pacifica,FAV,PHEV,1,,2026,2500,1875,1250,625,2026-09-12,2026-09-12,e744d2cdd77d54ec
2025-chrysler-pacifica-limited,2025,Chrysler,Pacifica,Limited,PHEV,1,,2026,2500,1875,1250,625,2026-09-12,2026-09-12,92b5db3ac0720e74
2025-chrysler-pacifica-select,2025,Chrysler,Pacifica,Select,PHEV,1,,2026,2500,1875,1250,625,2026-09-12,2026-09-12,c1d03949f1d911f5
2026-dodge-charger-r-t,2026,Dodge,Charger,R/T,BEV,1,,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,f03aae7c5d85ea80
2026-dodge-charger-scat-pack,2026,Dodge,Charger,Scat Pack,BEV,1,,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,adc62546864317b1
2025-dodge-charger-r-t,2025,Dodge,Charger,R/T,BEV,1,,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,a5f0738bcbcd0724
2025-dodge-charger-scat-pack,2025,Dodge,Charger,Scat Pack,BEV,1,,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,0dcc6cc1d37b6428
2024-dodge-charger-r-t,2024,Dodge,Charger,R/T,BEV,1,,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,504ef3c1d227a80a
2024-dodge-charger-scat-pack,2024,Dodge,Charger,Scat Pack,BEV,1,,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,a05f50b1371baf0d
2026-fiat-500e-icona,2026,Fiat,500e,Icona,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,7f599c998000f8d3
2026-fiat-500e-pop,2026,Fiat,500e,Pop,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,680f4b0126991da2
2025-fiat-500e-giorgio-armani,2025,Fiat,500e,Giorgio Armani,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,973d7c5f3d40fed6
2025-fiat-500e-la-prima,2025,Fiat,500e,La Prima,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,7dc1fd740e25f0d9
2025-fiat-500e-red,2025,Fiat,500e,Red,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,c0b8ac7e08d84d63
2026-ford-escape-plug-in-hybrid-base,2026,Ford,Escape Plug-In Hybrid,,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,d12b2d19c4c88fb1
2025-ford-escape-plug-in-hybrid-base,2025,Ford,Escape Plug-In Hybrid,,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,f29ea1e0f246da5a
2024-ford-escape-plug-in-hybrid-base,2024,Ford,Escape Plug-In Hybrid,,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,5eb58d2a31eb0b2a
2026-ford-mach-e-premium-rwd-extended-range,2026,Ford,Mach-e,Premium RWD Extended Range,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,cc63badbd4015189
2026-ford-mach-e-premium-rwd-standard-range,2026,Ford,Mach-e,Premium RWD Standard Range,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,3a042321ab43a34a
2026-ford-mach-e-premium-eawd-standard-range,2026,Ford,Mach-e,Premium eAWD Standard Range,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,2a9cbfc4a4afdf27
2026-ford-mach-e-select-rwd-standard-range,2026,Ford,Mach-e,Select RWD Standard Range,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,0185462a2b80cf93
2026-ford-mach-e-select-eawd-extended-range,2026,Ford,Mach-e,Select eAWD Extended Range,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,ea818c78f56f2434
2026-ford-mach-e-select-eawd-standard-range,2026,Ford,Mach-e,Select eAWD Standard Range,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,411501ffb872651e
2026-hyundai-kona-ev-preferred,2026,Hyundai,Kona EV,Preferred,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,8a5f6bbe0bcf9f52
2026-hyundai-kona-ev-preferred-w-trend-package,2026,Hyundai,Kona EV,Preferred w/Trend Package,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,e3220ed422b36bb8
2026-hyundai-kona-ev-preferred-w-ultimate-package,2026,Hyundai,Kona EV,Preferred w/Ultimate Package,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,b4df4242313da55e
2025-hyundai-kona-ev-preferred,2025,Hyundai,Kona EV,Preferred,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,51036454bc4fa757
2025-hyundai-kona-ev-preferred-w-trend-package,2025,Hyundai,Kona EV,Preferred w/Trend Package,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,239dd9d7a4ccf16c
2027-kia-ev3-gt-line-awd,2027,Kia,EV3,GT-Line AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,913cb325776d3be3
2027-kia-ev3-gt-line-fwd,2027,Kia,EV3,GT-Line FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,8beb2244c98beef6
2027-kia-ev3-gt-line-limited-fwd,2027,Kia,EV3,GT-Line Limited FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,dca4a060cbf83b85
2027-kia-ev3-land-awd,2027,Kia,EV3,Land AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,b96c786b58a084a5
2027-kia-ev3-land-fwd,2027,Kia,EV3,Land FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,944dfe964addb09c
2027-kia-ev3-light-fwd,2027,Kia,EV3,Light FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,f33e388945c2ef0b
2027-kia-ev3-wind-awd,2027,Kia,EV3,Wind AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,1a7c772de30e2381
2027-kia-ev3-wind-fwd,2027,Kia,EV3,Wind FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,12d46740b63fb525
2027-kia-ev4-gt-line-fwd,2027,Kia,EV4,GT-Line FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,32505af236ff99db
2027-kia-ev4-light-fwd,2027,Kia,EV4,Light FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,82cf59935fc685ee
2027-kia-ev4-wind-awd,2027,Kia,EV4,Wind AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,1dd1e0857eb173fe
2027-kia-ev4-wind-fwd,2027,Kia,EV4,Wind FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,d21bcc6881e37e03
2027-kia-ev4-wind-premium-awd,2027,Kia,EV4,Wind Premium AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,342b41bbbe811d2d
2027-kia-ev4-wind-premium-fwd,2027,Kia,EV4,Wind Premium FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,35b83bdabd71c083
2026-kia-ev4-gt-line,2026,Kia,EV4,GT-LINE,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,d102984d2bd9c608
2026-kia-ev4-light,2026,Kia,EV4,LIGHT,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,4fb7740c0e810a0b
2026-kia-ev4-wind,2026,Kia,EV4,WIND,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,6b299ca3efb536ec
2026-kia-ev4-wind-premium,2026,Kia,EV4,WIND PREMIUM,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,1de2d69d898bbc08
2027-kia-ev5-land-fwd,2027,Kia,EV5,Land FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,1b86111c1b99bb81
2027-kia-ev5-wind-awd,2027,Kia,EV5,Wind AWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,3ec648fa5d643d1d
2027-kia-ev5-wind-fwd,2027,Kia,EV5,Wind FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,5254f70d212fca55
2025-kia-ev6-light-rwd,2025,Kia,EV6,LIGHT RWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,dedf1e8b4d0c634a
2026-kia-niro-ev-wind,2026,Kia,Niro EV,WIND,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,1eced10f9b79e63a
2026-kia-niro-ev-wind-plus,2026,Kia,Niro EV,WIND +,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,53714d270e91a40b
2025-kia-niro-ev-wind,2025,Kia,Niro EV,WIND,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,1d73a3c4fec10d70
2025-kia-niro-ev-wind-plus,2025,Kia,Niro EV,WIND +,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,a4f80ef147b7e41c
2024-kia-niro-ev-wind,2024,Kia,Niro EV,WIND,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,7a2d769809b05585
2024-kia-niro-ev-wind-plus,2024,Kia,Niro EV,WIND +,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,b9c2024d14e798ca
2026-kia-niro-phev-ex,2026,Kia,Niro PHEV,EX,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,3e35f783ed0329f0
2026-kia-niro-phev-ex-premium,2026,Kia,Niro PHEV,EX PREMIUM,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,46fbe94c27836619
2026-kia-niro-phev-lx,2026,Kia,Niro PHEV,LX,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,440f9dc76e025b49
2025-kia-niro-phev-ex,2025,Kia,Niro PHEV,EX,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,4b53f1ec7d03fdc6
2025-kia-niro-phev-ex-premium,2025,Kia,Niro PHEV,EX PREMIUM,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,2eae3394f5ecac9d
2025-kia-niro-phev-lx,2025,Kia,Niro PHEV,LX,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,4e409d6f99d429cc
2027-kia-pv5-basic,2027,Kia,PV5,Basic,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,34b6e783e5b66b92
2027-kia-pv5-plus,2027,Kia,PV5,Plus,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,70694069cd3e10b4
2026-kia-sorento-phev-lx-phev,2026,Kia,Sorento PHEV,LX PHEV,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,fe4c2b1b5a33f8e7
2027-kia-sportage-phev-ex-awd,2027,Kia,Sportage PHEV,EX AWD,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,3aaa48ec40b24e40
2027-kia-sportage-phev-ex-premium-awd,2027,Kia,Sportage PHEV,EX Premium AWD,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,0b2014db8d595afe
2026-kia-sportage-phev-ex,2026,Kia,Sportage PHEV,EX,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,6c450614b39c3252
2026-kia-sportage-phev-ex-premium,2026,Kia,Sportage PHEV,EX PREMIUM,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,60e7e8f83e79770a
2025-kia-sportage-phev-ex-premium,2025,Kia,Sportage PHEV,EX PREMIUM,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,766478fb39f58563
2027-mini-countryman-se-all4-elementary-edition,2027,MINI,Countryman SE All4,Elementary Edition,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,5ee68982da58417f
2026-mazda-cx-70-phev-gs-sc,2026,Mazda,CX-70 PHEV,GS-SC,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,8aa03637646e5086
2026-mazda-cx-90-phev-gs,2026,Mazda,CX-90 PHEV,GS,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,e3a0e229a8c323e6
2026-mitsubishi-outlander-phev-es,2026,Mitsubishi,Outlander PHEV,ES,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,72994bea000579e3
2025-mitsubishi-outlander-phev-es,2025,Mitsubishi,Outlander PHEV,ES,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,9b5f5ec6cd17faf7
2026-nissan-leaf-s-plus,2026,Nissan,Leaf,S+,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,ab79c72362ef517f
2026-nissan-leaf-sv-plus,2026,Nissan,Leaf,SV+,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,853b1207bd604f70
2027-subaru-solterra-limited,2027,Subaru,Solterra,Limited,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,d05fdbd8f9faa5e9
2027-subaru-solterra-limited-black-cladding,2027,Subaru,Solterra,Limited Black Cladding,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,dfc26bf22a163db2
2027-subaru-solterra-touring,2027,Subaru,Solterra,Touring,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,1da2670b2f2ff6a9
2027-subaru-solterra-touring-black-cladding,2027,Subaru,Solterra,Touring Black Cladding,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,74e1f42c438f5407
2027-subaru-trailseeker-touring,2027,Subaru,Trailseeker,Touring,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,533ab16d0513035f
2027-subaru-uncharted-fwd,2027,Subaru,Uncharted,FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,15ac136596f4b4f2
2027-subaru-uncharted-fwd-long-range,2027,Subaru,Uncharted,FWD Long Range,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,680016c7ec45d03f
2027-subaru-uncharted-gt,2027,Subaru,Uncharted,GT,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,578ce1639ef2f42c
2027-subaru-uncharted-sport,2027,Subaru,Uncharted,Sport,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,100fe9bcf639c5c1
2026-subaru-uncharted-fwd,2026,Subaru,Uncharted,FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,f327fda5a60a38f9
2026-subaru-uncharted-fwd-lr,2026,Subaru,Uncharted,FWD LR,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,3197cb10fbe9a44f
2026-subaru-uncharted-sport,2026,Subaru,Uncharted,Sport,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,9a2924d1c9925a1a
2026-tesla-model-y-rwd-b,2026,Tesla,Model Y,RWD-B,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,639eecbcf1bf4631
2027-toyota-c-hr-se-fwd,2027,Toyota,C-HR,SE (FWD),BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,03000f6d7ba3665e
2027-toyota-c-hr-xse-awd,2027,Toyota,C-HR,XSE (AWD),BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,07ed00ddce54383f
2026-toyota-c-hr-se-fwd,2026,Toyota,C-HR,SE (FWD),BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,89c27fbb4f90a402
2026-toyota-c-hr-xse-awd,2026,Toyota,C-HR,XSE (AWD),BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,ae6f15c07d5f4125
2027-toyota-prius-plug-in-hybrid-se,2027,Toyota,Prius Plug-In Hybrid,SE,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,4beef1ac677adf69
2027-toyota-prius-plug-in-hybrid-xse,2027,Toyota,Prius Plug-In Hybrid,XSE,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,b25bf3c6d8e34198
2027-toyota-prius-plug-in-hybrid-xse-premium,2027,Toyota,Prius Plug-In Hybrid,XSE Premium,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,4b6f07ce7d7185be
2026-toyota-prius-plug-in-hybrid-nightshade,2026,Toyota,Prius Plug-in Hybrid,Nightshade,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,d8eed9d063d12816
2026-toyota-prius-plug-in-hybrid-se,2026,Toyota,Prius Plug-in Hybrid,SE,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,084ca99b9da307f4
2026-toyota-prius-plug-in-hybrid-xse,2026,Toyota,Prius Plug-in Hybrid,XSE,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,3b9bbe400d8712c0
2026-toyota-prius-plug-in-hybrid-xse-premium,2026,Toyota,Prius Plug-in Hybrid,XSE Premium,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,e08a103b8018acf3
2026-toyota-rav4-plug-in-hybrid-se,2026,Toyota,RAV4 Plug-In Hybrid,SE,PHEV,0,50000,2026,2500,1875,1250,625,2026-09-12,2026-09-12,87d0f87001214195
2027-toyota-bz-xle-fwd,2027,Toyota,bZ,XLE FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,4fc900871fe67521
2026-toyota-bz-xle-fwd,2026,Toyota,bZ,XLE FWD,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,04f9643a18db561c
2025-volkswagen-id-4-base,2025,Volkswagen,ID.4,Base,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,4daa23fcdaca31be
2026-volvo-ex30-single-motor-extended-range-core,2026,Volvo,EX30 Single Motor Extended Range,Core,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,fcb14f7f4bd82cb5
2026-volvo-ex30-single-motor-extended-range-plus,2026,Volvo,EX30 Single Motor Extended Range,Plus,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,5e3ca86fd054a6e0
2026-volvo-ex30-single-motor-extended-range-ultra,2026,Volvo,EX30 Single Motor Extended Range,Ultra,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,67964f68ad0fa0b4
2026-volvo-ex30-twin-motor-performance-plus,2026,Volvo,EX30 Twin Motor Performance,Plus,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,7aef7507156c57c0
2026-volvo-ex30-twin-motor-performance-ultra,2026,Volvo,EX30 Twin Motor Performance,Ultra,BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,2676faaaa7589ad5
2026-volvo-ex30-twin-motor-performance-ultra-cross-country,2026,Volvo,EX30 Twin Motor Performance,"Ultra, Cross Country",BEV,0,50000,2026,5000,3750,2500,1250,2026-09-12,2026-09-12,959d4d4e03381580
